bray_curtis	LAGZCK1	LAGZCK2	LAGZCK3	LAGZCK4	LAGZCK5	LAGZCK6	LAGZCK7	LAGZCK8	LAGZCK9	LAGZFo1	LAGZFo2	LAGZFo3	LAGZFo4	LAGZFo5	LAGZFo6	LAGZFo7	LAGZFo8	LAGZFo9	LAHEBCK1	LAHEBCK2	LAHEBCK3	LAHEBCK4	LAHEBCK5	LAHEBCK6	LAHEBCK7	LAHEBCK8	LAHEBCK9	LAHEBFo1	LAHEBFo2	LAHEBFo3	LAHEBFo4	LAHEBFo5	LAHEBFo6	LAHEBFo7	LAHEBFo8	LAHEBFo9	LAZJCK1	LAZJCK2	LAZJCK3	LAZJCK4	LAZJCK5	LAZJCK6	LAZJCK7	LAZJCK8	LAZJCK9	LAZJFo1	LAZJFo2	LAZJFo3	LAZJFo4	LAZJFo5	LAZJFo6	LAZJFo7	LAZJFo8	LAZJFo9	MMGZCK1	MMGZCK2	MMGZCK3	MMGZCK4	MMGZCK5	MMGZCK6	MMGZCK7	MMGZCK8	MMGZCK9	MMGZFo1	MMGZFo2	MMGZFo3	MMGZFo4	MMGZFo5	MMGZFo6	MMGZFo7	MMGZFo8	MMGZFo9	MMHEBCK1	MMHEBCK2	MMHEBCK3	MMHEBCK4	MMHEBCK5	MMHEBCK6	MMHEBCK7	MMHEBCK8	MMHEBCK9	MMHEBFo1	MMHEBFo2	MMHEBFo3	MMHEBFo4	MMHEBFo5	MMHEBFo6	MMHEBFo7	MMHEBFo8	MMHEBFo9	MMZJCK1	MMZJCK2	MMZJCK3	MMZJCK4	MMZJCK5	MMZJCK6	MMZJCK7	MMZJCK8	MMZJCK9	MMZJFo1	MMZJFo2	MMZJFo3	MMZJFo4	MMZJFo5	MMZJFo6	MMZJFo7	MMZJFo8	MMZJFo9
LAGZCK1	0	0.2928	0.28865	0.29715	0.2916	0.29595	0.2945	0.29325	0.2882	0.3253	0.3187	0.31595	0.32995	0.3138	0.3146	0.3214	0.31515	0.3222	0.66	0.65345	0.6512	0.66945	0.6617	0.6482	0.646	0.67275	0.65245	0.64505	0.6401	0.64425	0.6489	0.6439	0.6385	0.65175	0.64475	0.65575	0.64265	0.6531	0.64445	0.64655	0.64305	0.66465	0.6401	0.64255	0.68505	0.66265	0.6623	0.6594	0.6629	0.6552	0.68075	0.6644	0.68015	0.6618	0.44385	0.4445	0.46655	0.4449	0.45305	0.4518	0.4455	0.4434	0.45375	0.4456	0.4605	0.44265	0.4346	0.4407	0.4379	0.4517	0.44635	0.4513	0.66995	0.6727	0.6668	0.66425	0.66515	0.67605	0.67745	0.66055	0.6651	0.679	0.6883	0.67615	0.67475	0.6694	0.6698	0.69025	0.6741	0.68265	0.6973	0.70535	0.69715	0.69805	0.7007	0.7097	0.70615	0.7103	0.69905	0.70795	0.7362	0.6954	0.70045	0.698	0.7213	0.7042	0.7219	0.7065
LAGZCK2	0.2928	0	0.3078	0.28995	0.2968	0.2924	0.31005	0.2932	0.28405	0.33205	0.3242	0.3215	0.33655	0.32275	0.32265	0.33015	0.3317	0.33825	0.67225	0.66195	0.66325	0.681	0.6717	0.6611	0.65695	0.68305	0.66635	0.6519	0.6501	0.65645	0.66235	0.65455	0.6485	0.65975	0.65295	0.66565	0.64685	0.6493	0.6539	0.64485	0.64795	0.66445	0.6517	0.64775	0.68675	0.6628	0.6647	0.6643	0.6638	0.65265	0.68375	0.66615	0.6818	0.66435	0.4457	0.4482	0.4679	0.4504	0.4603	0.44925	0.44485	0.43775	0.4635	0.4541	0.46745	0.44825	0.44555	0.44995	0.44115	0.45485	0.44605	0.45495	0.6674	0.66665	0.6638	0.66415	0.66565	0.67315	0.6686	0.6586	0.657	0.67685	0.68035	0.67535	0.6667	0.6689	0.66525	0.6841	0.66855	0.68135	0.6937	0.70025	0.6982	0.695	0.6955	0.70355	0.6998	0.7049	0.7016	0.70595	0.73865	0.69315	0.69855	0.6988	0.71725	0.70215	0.71905	0.7021
LAGZCK3	0.28865	0.3078	0	0.2983	0.28555	0.2899	0.2889	0.29665	0.29545	0.3155	0.31215	0.31145	0.32345	0.31845	0.31285	0.3152	0.3194	0.3147	0.6439	0.63875	0.63325	0.6536	0.64425	0.6307	0.62905	0.6543	0.6349	0.63435	0.6249	0.6305	0.6367	0.63395	0.62185	0.63495	0.63325	0.6446	0.62985	0.6395	0.63505	0.63765	0.62775	0.655	0.6253	0.6328	0.67315	0.6536	0.65525	0.6509	0.65475	0.6444	0.67165	0.6513	0.67115	0.6543	0.44035	0.438	0.4568	0.4521	0.44375	0.4514	0.4435	0.4393	0.4519	0.4359	0.4474	0.433	0.4285	0.43715	0.42925	0.441	0.4418	0.43615	0.65425	0.6632	0.65765	0.64745	0.65875	0.66165	0.6633	0.65015	0.65055	0.6662	0.6792	0.66705	0.6617	0.6583	0.65955	0.68155	0.66615	0.67205	0.6858	0.69215	0.6862	0.692	0.69075	0.6997	0.69835	0.69495	0.6921	0.69805	0.7298	0.6826	0.69085	0.68835	0.70915	0.69665	0.71805	0.6949
LAGZCK4	0.29715	0.28995	0.2983	0	0.28475	0.269	0.28525	0.27225	0.2697	0.3331	0.30805	0.3162	0.3271	0.3204	0.3067	0.3272	0.3223	0.3316	0.66	0.6516	0.64945	0.67075	0.65805	0.6475	0.64565	0.67565	0.6527	0.64555	0.63875	0.64315	0.64935	0.6461	0.6355	0.651	0.6398	0.65745	0.6383	0.6402	0.63725	0.63855	0.6406	0.6597	0.6395	0.6356	0.67695	0.65805	0.66045	0.6575	0.66005	0.65005	0.68105	0.66125	0.6741	0.65905	0.44435	0.44415	0.46085	0.4529	0.4517	0.4423	0.44085	0.44405	0.45675	0.4524	0.4658	0.45085	0.44805	0.45415	0.44215	0.45285	0.44575	0.452	0.67015	0.67075	0.6696	0.669	0.6731	0.676	0.67845	0.6622	0.66295	0.68175	0.68595	0.6789	0.6705	0.67355	0.67265	0.6883	0.68085	0.68335	0.69805	0.70165	0.70415	0.7013	0.7011	0.7063	0.70705	0.71135	0.7057	0.7075	0.73985	0.69685	0.7014	0.7024	0.7219	0.7057	0.72445	0.7043
LAGZCK5	0.2916	0.2968	0.28555	0.28475	0	0.28935	0.2874	0.28155	0.28595	0.31555	0.31145	0.31335	0.31545	0.30835	0.30905	0.3157	0.3165	0.32055	0.66345	0.65625	0.6499	0.6748	0.6672	0.65175	0.6532	0.68295	0.65595	0.65335	0.64595	0.65145	0.6552	0.6503	0.64225	0.65685	0.64695	0.6639	0.6413	0.64585	0.64235	0.6423	0.64035	0.66	0.64155	0.6372	0.6745	0.65895	0.65835	0.65725	0.6559	0.64955	0.6731	0.66015	0.673	0.66105	0.4399	0.43965	0.45985	0.44775	0.44885	0.45185	0.44235	0.44175	0.4534	0.44995	0.46065	0.4465	0.44405	0.45105	0.44305	0.45295	0.44725	0.44695	0.6737	0.6774	0.67675	0.6734	0.6736	0.68075	0.6843	0.66625	0.6686	0.6819	0.6886	0.68035	0.672	0.6773	0.6714	0.68945	0.67645	0.68575	0.69645	0.70165	0.69865	0.69905	0.70015	0.70455	0.7039	0.70905	0.6978	0.70385	0.73285	0.6899	0.6958	0.6972	0.71865	0.7006	0.72085	0.7049
LAGZCK6	0.29595	0.2924	0.2899	0.269	0.28935	0	0.289	0.2775	0.2795	0.32625	0.31175	0.3199	0.3287	0.3179	0.3121	0.3208	0.3271	0.3332	0.66025	0.65165	0.6496	0.6681	0.65855	0.64705	0.64585	0.6723	0.6536	0.64225	0.63835	0.6449	0.65255	0.6441	0.63565	0.64925	0.64075	0.6557	0.6322	0.6394	0.6376	0.63525	0.63495	0.6564	0.63855	0.63395	0.67785	0.65575	0.65705	0.65555	0.654	0.6448	0.67205	0.65455	0.67175	0.65615	0.43905	0.4387	0.4607	0.44705	0.44555	0.4408	0.44445	0.4365	0.45595	0.4466	0.45965	0.44425	0.43945	0.4442	0.43455	0.44255	0.43485	0.44745	0.6638	0.6678	0.6642	0.65975	0.66595	0.6726	0.67415	0.65625	0.65835	0.6685	0.6817	0.6714	0.66735	0.66435	0.66275	0.68495	0.67115	0.67545	0.69305	0.6969	0.69585	0.6919	0.6942	0.7026	0.6995	0.70435	0.69585	0.6989	0.7315	0.68545	0.6924	0.691	0.71455	0.69585	0.71705	0.69975
LAGZCK7	0.2945	0.31005	0.2889	0.28525	0.2874	0.289	0	0.2878	0.2815	0.32505	0.31295	0.3096	0.3183	0.3194	0.30425	0.32705	0.3094	0.31755	0.67195	0.66335	0.6622	0.6815	0.6728	0.6571	0.65505	0.689	0.66205	0.65765	0.6517	0.6594	0.6602	0.66355	0.649	0.66425	0.6556	0.6719	0.64315	0.64465	0.64765	0.6407	0.64455	0.66415	0.64735	0.6426	0.67965	0.65935	0.65785	0.658	0.6595	0.6527	0.67705	0.6626	0.67555	0.66085	0.4389	0.4392	0.4633	0.4517	0.4436	0.44925	0.443	0.43875	0.4535	0.44115	0.44545	0.43785	0.43425	0.4407	0.432	0.44195	0.4408	0.44245	0.6814	0.6856	0.6815	0.67935	0.6844	0.68935	0.6888	0.67225	0.6729	0.68455	0.6952	0.69025	0.6809	0.67935	0.67845	0.69595	0.6844	0.6893	0.6989	0.70115	0.7047	0.6989	0.70025	0.7077	0.70465	0.71055	0.7062	0.70165	0.73385	0.69745	0.69775	0.6928	0.71755	0.69685	0.72025	0.70635
LAGZCK8	0.29325	0.2932	0.29665	0.27225	0.28155	0.2775	0.2878	0	0.2733	0.3297	0.31715	0.32405	0.33205	0.31425	0.31235	0.32655	0.3283	0.33505	0.6594	0.6511	0.6463	0.66725	0.659	0.64665	0.6465	0.67575	0.65115	0.64915	0.64195	0.64565	0.64695	0.64475	0.6377	0.65105	0.6412	0.6578	0.6415	0.64405	0.64375	0.64205	0.64185	0.66475	0.64295	0.63725	0.68145	0.6592	0.66135	0.6615	0.6608	0.6486	0.67735	0.66095	0.6767	0.65875	0.44895	0.45065	0.46065	0.4565	0.4561	0.4523	0.45065	0.44855	0.46375	0.4548	0.4637	0.45155	0.4474	0.45095	0.43905	0.45415	0.4492	0.4507	0.66635	0.6684	0.66675	0.66225	0.66755	0.6733	0.67335	0.6608	0.66065	0.6751	0.68205	0.67545	0.6649	0.6658	0.66695	0.683	0.6736	0.6785	0.6981	0.69935	0.70025	0.69915	0.6982	0.70315	0.70475	0.7081	0.7043	0.70495	0.73625	0.68935	0.6948	0.6967	0.7224	0.70195	0.72275	0.70425
LAGZCK9	0.2882	0.28405	0.29545	0.2697	0.28595	0.2795	0.2815	0.2733	0	0.328	0.3151	0.3046	0.32515	0.30655	0.30385	0.33005	0.31775	0.3245	0.66215	0.6516	0.65165	0.6718	0.6624	0.65215	0.64805	0.6774	0.6563	0.6446	0.6407	0.6454	0.65	0.64895	0.63825	0.65545	0.6412	0.65915	0.6347	0.63965	0.64115	0.63385	0.6383	0.65505	0.64085	0.63575	0.67265	0.65075	0.6511	0.65215	0.65235	0.6442	0.66735	0.6528	0.66755	0.65435	0.44375	0.45205	0.46415	0.4495	0.45115	0.45075	0.44955	0.4483	0.4568	0.4444	0.45695	0.4456	0.4403	0.4418	0.42695	0.4463	0.43465	0.44415	0.67015	0.6713	0.66765	0.66755	0.66995	0.67605	0.67375	0.6632	0.66105	0.67795	0.68585	0.67995	0.6668	0.67085	0.67015	0.68655	0.6728	0.6795	0.69655	0.6978	0.6997	0.69565	0.6969	0.70355	0.7009	0.7068	0.7026	0.6971	0.732	0.68955	0.6928	0.69085	0.7133	0.6957	0.7136	0.6984
LAGZFo1	0.3253	0.33205	0.3155	0.3331	0.31555	0.32625	0.32505	0.3297	0.328	0	0.30595	0.29555	0.3035	0.30235	0.29255	0.29475	0.3009	0.30305	0.70605	0.69995	0.69375	0.712	0.70745	0.69045	0.69265	0.71945	0.69605	0.68685	0.6826	0.68855	0.6925	0.6862	0.679	0.69305	0.6861	0.70115	0.6674	0.6769	0.6712	0.6716	0.66435	0.6841	0.66455	0.6668	0.7014	0.6738	0.67405	0.6727	0.67395	0.6602	0.68975	0.6733	0.6921	0.67055	0.43355	0.43295	0.4533	0.4417	0.4393	0.4531	0.431	0.4303	0.4433	0.4346	0.4411	0.4266	0.4178	0.439	0.42315	0.4391	0.43295	0.431	0.6798	0.68785	0.68335	0.6803	0.6811	0.6885	0.69255	0.67275	0.675	0.67985	0.6883	0.68305	0.677	0.6733	0.67435	0.6921	0.6731	0.6881	0.69615	0.70085	0.6966	0.69145	0.69845	0.7039	0.7033	0.70245	0.69985	0.7105	0.7458	0.6928	0.70445	0.6984	0.7153	0.7039	0.7196	0.7022
LAGZFo2	0.3187	0.3242	0.31215	0.30805	0.31145	0.31175	0.31295	0.31715	0.3151	0.30595	0	0.2885	0.2978	0.2878	0.2783	0.2891	0.2847	0.2887	0.70745	0.7011	0.6919	0.7196	0.709	0.6914	0.69585	0.7212	0.6943	0.68415	0.6791	0.68385	0.6878	0.6804	0.67355	0.6874	0.67835	0.69485	0.66705	0.6732	0.6742	0.66475	0.66655	0.6842	0.66655	0.66485	0.69795	0.6674	0.66955	0.6701	0.6714	0.66355	0.6848	0.6699	0.68305	0.66965	0.43605	0.4373	0.45685	0.4433	0.4387	0.4441	0.43275	0.4354	0.45225	0.4412	0.4426	0.43365	0.4326	0.44005	0.42845	0.4419	0.42815	0.4401	0.6844	0.68835	0.6835	0.68485	0.68835	0.69115	0.6936	0.6785	0.6776	0.6884	0.6953	0.68755	0.68265	0.68225	0.6824	0.69485	0.6912	0.6921	0.70355	0.70985	0.70775	0.7057	0.7049	0.7121	0.7085	0.7153	0.7092	0.71515	0.745	0.7027	0.70585	0.7086	0.72825	0.70805	0.72875	0.7094
LAGZFo3	0.31595	0.3215	0.31145	0.3162	0.31335	0.3199	0.3096	0.32405	0.3046	0.29555	0.2885	0	0.2867	0.28345	0.27645	0.29955	0.2809	0.28195	0.7025	0.69745	0.6942	0.7134	0.7054	0.6891	0.68795	0.71745	0.69125	0.68135	0.67535	0.68275	0.6859	0.6846	0.67005	0.6906	0.68215	0.69635	0.6608	0.6681	0.6666	0.65875	0.6569	0.6759	0.6639	0.6601	0.6943	0.65915	0.661	0.66075	0.6626	0.65585	0.67565	0.66435	0.6798	0.66575	0.43495	0.4353	0.46185	0.44095	0.437	0.451	0.43595	0.42875	0.44585	0.4276	0.43615	0.4251	0.41585	0.42755	0.4171	0.42795	0.42485	0.43505	0.6799	0.68345	0.6787	0.67985	0.68215	0.6892	0.6891	0.66985	0.6725	0.6805	0.69085	0.6867	0.67795	0.67665	0.6749	0.693	0.6783	0.68735	0.6996	0.70305	0.7035	0.6988	0.6987	0.7094	0.70375	0.70755	0.70365	0.7066	0.7436	0.7026	0.6985	0.69725	0.7206	0.7019	0.71425	0.7035
LAGZFo4	0.32995	0.33655	0.32345	0.3271	0.31545	0.3287	0.3183	0.33205	0.32515	0.3035	0.2978	0.2867	0	0.29435	0.286	0.301	0.29675	0.29465	0.726	0.7191	0.71295	0.7337	0.7254	0.7109	0.7114	0.7395	0.7146	0.70095	0.6985	0.70585	0.70815	0.70285	0.69305	0.7094	0.70185	0.7159	0.67965	0.684	0.6833	0.6745	0.67795	0.69515	0.6807	0.67985	0.7049	0.67565	0.6699	0.68155	0.68065	0.67275	0.69185	0.6779	0.6877	0.6789	0.4393	0.43575	0.45545	0.444	0.4344	0.454	0.4323	0.4359	0.4475	0.4232	0.42965	0.42255	0.4157	0.42445	0.4099	0.42725	0.41745	0.4237	0.69995	0.70185	0.7007	0.70005	0.7024	0.70945	0.71255	0.69055	0.69345	0.69595	0.70885	0.70115	0.69345	0.69405	0.691	0.70745	0.6971	0.69975	0.7107	0.707	0.71395	0.70705	0.70845	0.7186	0.7131	0.7205	0.7128	0.71455	0.7465	0.707	0.70975	0.70845	0.73085	0.70905	0.72745	0.71185
LAGZFo5	0.3138	0.32275	0.31845	0.3204	0.30835	0.3179	0.3194	0.31425	0.30655	0.30235	0.2878	0.28345	0.29435	0	0.2844	0.29605	0.2936	0.295	0.7112	0.7055	0.6993	0.7235	0.7152	0.6991	0.69875	0.72535	0.7023	0.6915	0.68705	0.69415	0.6962	0.68845	0.6827	0.6938	0.68885	0.7031	0.66905	0.67785	0.6774	0.67205	0.67035	0.68305	0.67065	0.67075	0.6997	0.67315	0.6722	0.6717	0.6756	0.6648	0.68515	0.67555	0.6873	0.67385	0.42315	0.42805	0.4457	0.43045	0.4334	0.4358	0.42415	0.42615	0.44185	0.43465	0.44415	0.43255	0.4308	0.43	0.42185	0.44385	0.43755	0.43615	0.68695	0.6908	0.6865	0.685	0.6864	0.69265	0.69775	0.67905	0.6809	0.68895	0.69875	0.6891	0.6861	0.6826	0.6845	0.69925	0.68675	0.69415	0.70435	0.7103	0.708	0.70495	0.70845	0.71275	0.71135	0.7157	0.7103	0.7141	0.74415	0.70365	0.70885	0.70575	0.72545	0.70865	0.72585	0.7152
LAGZFo6	0.3146	0.32265	0.31285	0.3067	0.30905	0.3121	0.30425	0.31235	0.30385	0.29255	0.2783	0.27645	0.286	0.2844	0	0.28655	0.2805	0.28095	0.70785	0.70025	0.69505	0.7181	0.70835	0.6911	0.69415	0.72285	0.6968	0.68625	0.6784	0.68585	0.69	0.68655	0.6754	0.6902	0.6842	0.69665	0.66035	0.6624	0.66205	0.65605	0.65775	0.6749	0.6577	0.65495	0.6892	0.66195	0.66075	0.65895	0.65975	0.6512	0.6733	0.66	0.67705	0.65795	0.4294	0.43185	0.451	0.43805	0.43085	0.4384	0.43075	0.42975	0.4444	0.4253	0.43915	0.4243	0.4181	0.4283	0.41445	0.4306	0.4196	0.43435	0.68305	0.68785	0.6811	0.685	0.6851	0.69035	0.6954	0.672	0.67675	0.6917	0.69855	0.6904	0.68075	0.684	0.6833	0.69845	0.6873	0.6938	0.7002	0.7025	0.7038	0.6945	0.6992	0.70795	0.70465	0.7087	0.699	0.70575	0.7412	0.6973	0.69665	0.6956	0.722	0.70015	0.71835	0.7044
LAGZFo7	0.3214	0.33015	0.3152	0.3272	0.3157	0.3208	0.32705	0.32655	0.33005	0.29475	0.2891	0.29955	0.301	0.29605	0.28655	0	0.3003	0.2976	0.70345	0.69835	0.6901	0.7101	0.70315	0.68865	0.6893	0.71465	0.6916	0.6779	0.6762	0.68065	0.6862	0.678	0.6702	0.68465	0.6798	0.6934	0.66205	0.67145	0.66615	0.6639	0.66255	0.68165	0.65755	0.6627	0.69795	0.66545	0.6677	0.66405	0.6676	0.65845	0.68195	0.66535	0.6798	0.66095	0.43265	0.4314	0.45505	0.4412	0.4395	0.4502	0.4362	0.4322	0.4489	0.43815	0.4479	0.4311	0.42715	0.43965	0.4204	0.4382	0.43105	0.43785	0.68	0.68715	0.68075	0.6785	0.68035	0.68725	0.6927	0.67185	0.6766	0.67825	0.68765	0.67865	0.6735	0.67345	0.67055	0.692	0.67955	0.68605	0.6968	0.70015	0.69415	0.695	0.69855	0.71015	0.7019	0.7062	0.69575	0.71035	0.74685	0.6854	0.703	0.6998	0.7218	0.70315	0.72355	0.7013
LAGZFo8	0.31515	0.3317	0.3194	0.3223	0.3165	0.3271	0.3094	0.3283	0.31775	0.3009	0.2847	0.2809	0.29675	0.2936	0.2805	0.3003	0	0.29275	0.7177	0.70865	0.7041	0.7267	0.7175	0.70335	0.7039	0.73345	0.70095	0.7012	0.6957	0.70005	0.70305	0.7012	0.6887	0.7055	0.69525	0.71255	0.6667	0.6715	0.67245	0.66235	0.66565	0.6831	0.66635	0.6658	0.69505	0.668	0.66205	0.66495	0.67035	0.66035	0.68185	0.67095	0.6851	0.67135	0.43225	0.4337	0.45545	0.44	0.4312	0.44495	0.4284	0.437	0.43995	0.41975	0.4293	0.41175	0.41005	0.42075	0.4122	0.42925	0.41515	0.4255	0.6855	0.6953	0.6893	0.69005	0.69245	0.6984	0.6988	0.67935	0.68265	0.69105	0.7024	0.6966	0.6877	0.6818	0.683	0.6975	0.69285	0.6939	0.6953	0.69715	0.69935	0.6943	0.6978	0.7073	0.69935	0.70505	0.7013	0.7036	0.7391	0.6969	0.69775	0.6963	0.71915	0.69735	0.7173	0.70515
LAGZFo9	0.3222	0.33825	0.3147	0.3316	0.32055	0.3332	0.31755	0.33505	0.3245	0.30305	0.2887	0.28195	0.29465	0.295	0.28095	0.2976	0.29275	0	0.71425	0.70865	0.70355	0.724	0.7158	0.70005	0.7015	0.72855	0.7017	0.6934	0.6878	0.6955	0.6978	0.6942	0.6831	0.6995	0.69255	0.7062	0.6623	0.6702	0.668	0.6638	0.66005	0.68025	0.6625	0.66105	0.69675	0.66195	0.6647	0.665	0.6663	0.65615	0.6821	0.6655	0.68	0.66415	0.43845	0.4357	0.4637	0.4438	0.436	0.451	0.4389	0.43695	0.4491	0.43005	0.4314	0.42735	0.4199	0.4312	0.42055	0.43495	0.43	0.4293	0.69065	0.7015	0.6906	0.6952	0.6953	0.7014	0.7034	0.6834	0.6859	0.6933	0.70755	0.69815	0.68825	0.68725	0.68555	0.70825	0.69155	0.7004	0.69665	0.7011	0.70215	0.69485	0.70035	0.7099	0.70395	0.7094	0.70035	0.71135	0.7418	0.70025	0.6997	0.70155	0.72315	0.70195	0.72175	0.707
LAHEBCK1	0.66	0.67225	0.6439	0.66	0.66345	0.66025	0.67195	0.6594	0.66215	0.70605	0.70745	0.7025	0.726	0.7112	0.70785	0.70345	0.7177	0.71425	0	0.24055	0.22785	0.27595	0.24995	0.2334	0.23575	0.2849	0.2564	0.29125	0.27385	0.27185	0.2843	0.2923	0.2732	0.29655	0.30165	0.28955	0.56505	0.5882	0.57515	0.5921	0.5645	0.62415	0.57225	0.57175	0.65065	0.6382	0.6543	0.6484	0.6434	0.6276	0.66125	0.6388	0.6496	0.63295	0.7627	0.75605	0.7646	0.76045	0.75945	0.74395	0.75795	0.7533	0.76615	0.73365	0.7436	0.7338	0.7341	0.7455	0.7454	0.72585	0.73375	0.73535	0.55285	0.55965	0.5606	0.54025	0.55555	0.5598	0.57145	0.55415	0.54955	0.57215	0.5781	0.56155	0.5602	0.5649	0.56555	0.57915	0.57225	0.5765	0.7077	0.7176	0.7009	0.7084	0.7082	0.7111	0.71745	0.71325	0.7126	0.7251	0.7318	0.7012	0.71675	0.7091	0.7244	0.7198	0.735	0.7134
LAHEBCK2	0.65345	0.66195	0.63875	0.6516	0.65625	0.65165	0.66335	0.6511	0.6516	0.69995	0.7011	0.69745	0.7191	0.7055	0.70025	0.69835	0.70865	0.70865	0.24055	0	0.2338	0.28205	0.25405	0.2341	0.23385	0.30735	0.26615	0.2956	0.2583	0.26995	0.29155	0.2957	0.26445	0.2985	0.2884	0.2964	0.55165	0.5765	0.55965	0.58075	0.54955	0.6166	0.55995	0.5523	0.651	0.62485	0.64865	0.6438	0.6319	0.61705	0.65685	0.6265	0.6438	0.62065	0.7568	0.75095	0.76005	0.756	0.75345	0.73965	0.75305	0.7484	0.7591	0.72965	0.738	0.72755	0.72965	0.7412	0.7381	0.72035	0.7277	0.7288	0.5469	0.5576	0.55265	0.5349	0.5501	0.5527	0.5613	0.5478	0.5419	0.5666	0.57065	0.55515	0.5551	0.55905	0.5583	0.5778	0.56845	0.57155	0.70215	0.7108	0.69285	0.70215	0.70105	0.70785	0.7113	0.7078	0.7081	0.7231	0.7368	0.6905	0.71065	0.7077	0.7223	0.7171	0.7351	0.7078
LAHEBCK3	0.6512	0.66325	0.63325	0.64945	0.6499	0.6496	0.6622	0.6463	0.65165	0.69375	0.6919	0.6942	0.71295	0.6993	0.69505	0.6901	0.7041	0.70355	0.22785	0.2338	0	0.25795	0.24065	0.2191	0.21875	0.2664	0.2589	0.27655	0.2663	0.26445	0.2731	0.2787	0.2607	0.28395	0.28565	0.26635	0.55965	0.57825	0.56035	0.58255	0.55985	0.62225	0.56015	0.55935	0.6548	0.6279	0.64715	0.64415	0.6338	0.62285	0.65625	0.6317	0.6455	0.62265	0.7553	0.75075	0.7578	0.756	0.75695	0.74185	0.75295	0.74805	0.7626	0.72205	0.73085	0.72115	0.72115	0.73695	0.7292	0.71385	0.72175	0.7225	0.5534	0.5633	0.56305	0.5415	0.55475	0.55735	0.5732	0.55345	0.5472	0.5733	0.5801	0.55825	0.5624	0.5635	0.5639	0.57895	0.5736	0.57355	0.70605	0.71305	0.6983	0.70975	0.70605	0.71245	0.71685	0.7124	0.7119	0.72365	0.7353	0.68555	0.7145	0.70805	0.72805	0.71765	0.73725	0.71555
LAHEBCK4	0.66945	0.681	0.6536	0.67075	0.6748	0.6681	0.6815	0.66725	0.6718	0.712	0.7196	0.7134	0.7337	0.7235	0.7181	0.7101	0.7267	0.724	0.27595	0.28205	0.25795	0	0.25535	0.2749	0.2612	0.27205	0.30085	0.30275	0.3036	0.29825	0.27365	0.30745	0.3145	0.317	0.3364	0.2794	0.5832	0.60595	0.5881	0.6044	0.5798	0.65345	0.5859	0.5834	0.6824	0.6529	0.6753	0.6727	0.65435	0.64415	0.68705	0.6589	0.67215	0.64515	0.7669	0.76115	0.7709	0.76715	0.77015	0.7549	0.76615	0.7581	0.7725	0.74495	0.75415	0.7414	0.7378	0.7543	0.7478	0.73195	0.7426	0.742	0.58625	0.59265	0.59345	0.57275	0.5868	0.5918	0.6012	0.5907	0.57795	0.6061	0.61385	0.5944	0.5987	0.5989	0.59345	0.62195	0.59985	0.60895	0.72505	0.7294	0.7128	0.72585	0.72345	0.7317	0.73235	0.7264	0.72865	0.73855	0.7237	0.69415	0.7275	0.722	0.7392	0.73165	0.7535	0.72935
LAHEBCK5	0.6617	0.6717	0.64425	0.65805	0.6672	0.65855	0.6728	0.659	0.6624	0.70745	0.709	0.7054	0.7254	0.7152	0.70835	0.70315	0.7175	0.7158	0.24995	0.25405	0.24065	0.25535	0	0.23635	0.23545	0.2401	0.2666	0.2819	0.27755	0.27555	0.27265	0.2832	0.2947	0.2965	0.3061	0.27925	0.56815	0.5926	0.57525	0.5937	0.5676	0.63555	0.5764	0.5741	0.6653	0.6381	0.6595	0.6543	0.6429	0.6288	0.6691	0.6388	0.65535	0.63495	0.7601	0.75675	0.76325	0.7598	0.76195	0.74505	0.76015	0.7513	0.76395	0.73665	0.74465	0.7321	0.7365	0.7479	0.74535	0.72665	0.73405	0.73485	0.56895	0.5716	0.57085	0.54935	0.56595	0.56945	0.58	0.5651	0.563	0.5856	0.5866	0.57275	0.5796	0.5829	0.58015	0.598	0.5914	0.58885	0.70945	0.71735	0.6994	0.7114	0.71015	0.71445	0.71945	0.7162	0.7177	0.7256	0.7398	0.6925	0.71555	0.71025	0.7281	0.7225	0.74045	0.71615
LAHEBCK6	0.6482	0.6611	0.6307	0.6475	0.65175	0.64705	0.6571	0.64665	0.65215	0.69045	0.6914	0.6891	0.7109	0.6991	0.6911	0.68865	0.70335	0.70005	0.2334	0.2341	0.2191	0.2749	0.23635	0	0.21875	0.2842	0.2426	0.27695	0.25855	0.25805	0.27445	0.27315	0.2617	0.28905	0.27165	0.28675	0.55565	0.5776	0.56015	0.57855	0.55465	0.62115	0.56365	0.55705	0.6537	0.62515	0.643	0.63985	0.63215	0.61555	0.6572	0.62775	0.64325	0.6228	0.7528	0.7502	0.7581	0.75605	0.75275	0.7358	0.75245	0.74555	0.75795	0.72265	0.72635	0.7154	0.72145	0.73125	0.729	0.71205	0.7204	0.72135	0.542	0.5544	0.54775	0.53025	0.53905	0.54745	0.5623	0.5408	0.53295	0.55595	0.56715	0.5435	0.54785	0.54905	0.54865	0.5692	0.5568	0.5579	0.70315	0.71135	0.69395	0.7045	0.7029	0.70825	0.712	0.70915	0.7085	0.7149	0.72985	0.6827	0.7064	0.6964	0.72125	0.7082	0.7279	0.71115
