bray_curtis	LAGZCK1	LAGZCK2	LAGZCK3	LAGZCK4	LAGZCK5	LAGZCK6	LAGZCK7	LAGZCK8	LAGZCK9	LAGZFo1	LAGZFo2	LAGZFo3	LAGZFo4	LAGZFo5	LAGZFo6	LAGZFo7	LAGZFo8	LAGZFo9	LAHEBCK1	LAHEBCK2	LAHEBCK3	LAHEBCK4	LAHEBCK5	LAHEBCK6	LAHEBCK7	LAHEBCK8	LAHEBCK9	LAHEBFo1	LAHEBFo2	LAHEBFo3	LAHEBFo4	LAHEBFo5	LAHEBFo6	LAHEBFo7	LAHEBFo8	LAHEBFo9	LAZJCK1	LAZJCK2	LAZJCK3	LAZJCK4	LAZJCK5	LAZJCK6	LAZJCK7	LAZJCK8	LAZJCK9	LAZJFo1	LAZJFo2	LAZJFo3	LAZJFo4	LAZJFo5	LAZJFo6	LAZJFo7	LAZJFo8	LAZJFo9	MMGZCK1	MMGZCK2	MMGZCK3	MMGZCK4	MMGZCK5	MMGZCK6	MMGZCK7	MMGZCK8	MMGZCK9	MMGZFo1	MMGZFo2	MMGZFo3	MMGZFo4	MMGZFo5	MMGZFo6	MMGZFo7	MMGZFo8	MMGZFo9	MMHEBCK1	MMHEBCK2	MMHEBCK3	MMHEBCK4	MMHEBCK5	MMHEBCK6	MMHEBCK7	MMHEBCK8	MMHEBCK9	MMHEBFo1	MMHEBFo2	MMHEBFo3	MMHEBFo4	MMHEBFo5	MMHEBFo6	MMHEBFo7	MMHEBFo8	MMHEBFo9	MMZJCK1	MMZJCK2	MMZJCK3	MMZJCK4	MMZJCK5	MMZJCK6	MMZJCK7	MMZJCK8	MMZJCK9	MMZJFo1	MMZJFo2	MMZJFo3	MMZJFo4	MMZJFo5	MMZJFo6	MMZJFo7	MMZJFo8	MMZJFo9
MMZJCK7	0.70615	0.6998	0.69835	0.70705	0.7039	0.6995	0.70465	0.70475	0.7009	0.7033	0.7085	0.70375	0.7131	0.71135	0.70465	0.7019	0.69935	0.70395	0.71745	0.7113	0.71685	0.73235	0.71945	0.712	0.70495	0.73225	0.7067	0.7027	0.696	0.6989	0.70755	0.70425	0.69455	0.7057	0.69485	0.70955	0.488	0.491	0.49615	0.4871	0.4965	0.49965	0.5038	0.4996	0.5103	0.49335	0.4828	0.4857	0.4942	0.4861	0.48535	0.4918	0.4946	0.4985	0.6117	0.6139	0.6175	0.61375	0.61545	0.60895	0.6179	0.61895	0.621	0.62885	0.6375	0.6243	0.63315	0.6487	0.6382	0.6125	0.63165	0.63365	0.5557	0.562	0.55465	0.5615	0.5693	0.56855	0.57135	0.55635	0.55645	0.5966	0.6077	0.6081	0.60265	0.6032	0.5995	0.6151	0.61265	0.6026	0.2697	0.2699	0.3064	0.26665	0.2638	0.268	0	0.28585	0.2798	0.37895	0.46675	0.39125	0.37045	0.37105	0.3791	0.3717	0.39905	0.2669
MMZJCK8	0.7103	0.7049	0.69495	0.71135	0.70905	0.70435	0.71055	0.7081	0.7068	0.70245	0.7153	0.70755	0.7205	0.7157	0.7087	0.7062	0.70505	0.7094	0.71325	0.7078	0.7124	0.7264	0.7162	0.70915	0.7	0.726	0.70245	0.70585	0.69525	0.6968	0.7079	0.6982	0.69115	0.704	0.6946	0.7116	0.51965	0.5215	0.5256	0.5225	0.5242	0.5368	0.5316	0.5256	0.5509	0.5296	0.52165	0.52235	0.5301	0.5194	0.52685	0.5269	0.5313	0.5301	0.60655	0.5984	0.60085	0.60225	0.6066	0.59555	0.6088	0.6128	0.61215	0.6296	0.64185	0.61675	0.63005	0.64775	0.6356	0.60815	0.6285	0.6248	0.53575	0.55075	0.53815	0.5424	0.55425	0.53715	0.5527	0.53965	0.54485	0.58815	0.5924	0.59925	0.5936	0.59755	0.58565	0.61325	0.6091	0.5973	0.2861	0.27755	0.2951	0.2722	0.28345	0.2833	0.28585	0	0.29125	0.42395	0.4992	0.4123	0.41295	0.40755	0.3991	0.41465	0.43875	0.28375
MMZJCK9	0.69905	0.7016	0.6921	0.7057	0.6978	0.69585	0.7062	0.7043	0.7026	0.69985	0.7092	0.70365	0.7128	0.7103	0.699	0.69575	0.7013	0.70035	0.7126	0.7081	0.7119	0.72865	0.7177	0.7085	0.7015	0.72965	0.70295	0.70665	0.695	0.69585	0.7075	0.6972	0.6949	0.70205	0.69405	0.7127	0.50175	0.50585	0.5046	0.508	0.50665	0.5143	0.51005	0.50705	0.52685	0.5111	0.50335	0.49945	0.511	0.5021	0.502	0.50675	0.50435	0.5062	0.6184	0.6173	0.6202	0.61655	0.61755	0.6083	0.6234	0.6232	0.62925	0.6334	0.63705	0.6253	0.63415	0.64905	0.64005	0.6141	0.6306	0.634	0.555	0.5731	0.5557	0.5669	0.5708	0.56855	0.5757	0.5599	0.56115	0.602	0.61355	0.60975	0.6052	0.60615	0.59795	0.622	0.6139	0.6106	0.27975	0.2875	0.29495	0.2789	0.28755	0.291	0.2798	0.29125	0	0.4015	0.48225	0.391	0.3934	0.393	0.4121	0.3954	0.4273	0.2897
MMZJFo1	0.70795	0.70595	0.69805	0.7075	0.70385	0.6989	0.70165	0.70495	0.6971	0.7105	0.71515	0.7066	0.71455	0.7141	0.70575	0.71035	0.7036	0.71135	0.7251	0.7231	0.72365	0.73855	0.7256	0.7149	0.7155	0.73125	0.7082	0.71255	0.6993	0.70095	0.71325	0.70825	0.70125	0.70855	0.69915	0.7176	0.44245	0.43435	0.44715	0.4461	0.45115	0.43035	0.4612	0.4567	0.43275	0.43075	0.41055	0.40605	0.4166	0.41325	0.402	0.42435	0.4196	0.43725	0.70405	0.70495	0.7122	0.7061	0.70365	0.7015	0.7098	0.7067	0.70835	0.6774	0.6756	0.67925	0.67555	0.691	0.68265	0.6698	0.6774	0.68455	0.65955	0.65945	0.6558	0.6588	0.66025	0.6694	0.66795	0.65165	0.6569	0.6475	0.6588	0.6502	0.64615	0.6426	0.64325	0.6507	0.6516	0.65005	0.37775	0.3963	0.4304	0.4078	0.397	0.3886	0.37895	0.42395	0.4015	0	0.39215	0.3458	0.2803	0.28	0.37425	0.28295	0.2893	0.3862
MMZJFo2	0.7362	0.73865	0.7298	0.73985	0.73285	0.7315	0.73385	0.73625	0.732	0.7458	0.745	0.7436	0.7465	0.74415	0.7412	0.74685	0.7391	0.7418	0.7318	0.7368	0.7353	0.7237	0.7398	0.72985	0.7312	0.74785	0.72055	0.7336	0.72475	0.7238	0.7303	0.73375	0.72155	0.7269	0.72585	0.73	0.507	0.5093	0.51545	0.5119	0.5151	0.5095	0.52785	0.5245	0.51785	0.5137	0.48675	0.4935	0.49235	0.4902	0.4898	0.49765	0.50045	0.5121	0.7432	0.74565	0.7545	0.74605	0.74575	0.74125	0.75285	0.7448	0.7497	0.7234	0.718	0.7221	0.71335	0.73195	0.72785	0.71575	0.72355	0.72695	0.7117	0.70995	0.7074	0.7093	0.70935	0.7229	0.7169	0.706	0.7091	0.699	0.70705	0.7012	0.7008	0.6967	0.6956	0.7006	0.7048	0.6993	0.45745	0.4826	0.5027	0.4883	0.47735	0.47415	0.46675	0.4992	0.48225	0.39215	0	0.43205	0.39125	0.3913	0.4565	0.39755	0.40185	0.47375
MMZJFo3	0.6954	0.69315	0.6826	0.69685	0.6899	0.68545	0.69745	0.68935	0.68955	0.6928	0.7027	0.7026	0.707	0.70365	0.6973	0.6854	0.6969	0.70025	0.7012	0.6905	0.68555	0.69415	0.6925	0.6827	0.6796	0.69155	0.68385	0.67845	0.6703	0.6711	0.6803	0.6721	0.6713	0.6706	0.6733	0.6755	0.436	0.43325	0.4304	0.4381	0.44215	0.46555	0.44155	0.4383	0.4972	0.4336	0.42775	0.4326	0.4264	0.42095	0.44665	0.42565	0.43705	0.4135	0.68575	0.68425	0.6927	0.68635	0.6918	0.6759	0.6909	0.68165	0.69555	0.6641	0.67135	0.65845	0.65865	0.6795	0.66385	0.64865	0.6569	0.65925	0.623	0.62725	0.62305	0.6178	0.6229	0.6234	0.6349	0.62225	0.6171	0.6145	0.62335	0.61025	0.61095	0.6097	0.61215	0.6257	0.6196	0.6166	0.38685	0.40065	0.39785	0.4089	0.3945	0.40595	0.39125	0.4123	0.391	0.3458	0.43205	0	0.32155	0.3356	0.40575	0.3143	0.38525	0.4016
MMZJFo4	0.70045	0.69855	0.69085	0.7014	0.6958	0.6924	0.69775	0.6948	0.6928	0.70445	0.70585	0.6985	0.70975	0.70885	0.69665	0.703	0.69775	0.6997	0.71675	0.71065	0.7145	0.7275	0.71555	0.7064	0.70395	0.72205	0.7025	0.6999	0.6882	0.6872	0.70075	0.69545	0.6887	0.69715	0.6881	0.70225	0.4273	0.4265	0.42665	0.4258	0.433	0.43465	0.44365	0.43715	0.4564	0.41005	0.3943	0.3943	0.3992	0.3932	0.4073	0.40475	0.4133	0.4155	0.6952	0.6965	0.70625	0.6961	0.6949	0.6889	0.7003	0.6973	0.7058	0.66495	0.66675	0.66285	0.66315	0.68035	0.6727	0.65585	0.66555	0.67105	0.646	0.64715	0.64095	0.6446	0.64295	0.65555	0.6564	0.6383	0.6455	0.6287	0.6453	0.63295	0.6311	0.62695	0.6261	0.63555	0.63805	0.6354	0.3724	0.387	0.41835	0.39975	0.38365	0.3846	0.37045	0.41295	0.3934	0.2803	0.39125	0.32155	0	0.26435	0.3762	0.262	0.3135	0.389
MMZJFo5	0.698	0.6988	0.68835	0.7024	0.6972	0.691	0.6928	0.6967	0.69085	0.6984	0.7086	0.69725	0.70845	0.70575	0.6956	0.6998	0.6963	0.70155	0.7091	0.7077	0.70805	0.722	0.71025	0.6964	0.6974	0.71635	0.6905	0.69435	0.6837	0.6857	0.69885	0.6919	0.68545	0.6908	0.6841	0.70325	0.42745	0.43305	0.43095	0.43195	0.43775	0.4274	0.4427	0.4426	0.4423	0.418	0.399	0.3994	0.4064	0.40185	0.39935	0.4102	0.4175	0.42345	0.69295	0.69425	0.7047	0.6943	0.69285	0.6873	0.7026	0.69545	0.70245	0.6608	0.6632	0.65935	0.6586	0.67755	0.6678	0.6531	0.66215	0.6687	0.63805	0.64235	0.6337	0.6396	0.6348	0.6516	0.64815	0.63185	0.63495	0.6218	0.63865	0.6314	0.62635	0.62045	0.6211	0.63285	0.63635	0.63085	0.36755	0.38565	0.4215	0.39095	0.38655	0.3827	0.37105	0.40755	0.393	0.28	0.3913	0.3356	0.26435	0	0.3673	0.2832	0.29335	0.383
MMZJFo6	0.7213	0.71725	0.70915	0.7219	0.71865	0.71455	0.71755	0.7224	0.7133	0.7153	0.72825	0.7206	0.73085	0.72545	0.722	0.7218	0.71915	0.72315	0.7244	0.7223	0.72805	0.7392	0.7281	0.72125	0.7149	0.73265	0.7136	0.71445	0.70735	0.709	0.7188	0.7096	0.70495	0.7105	0.703	0.7208	0.4974	0.50105	0.5079	0.50795	0.51265	0.4952	0.5165	0.5121	0.50045	0.5068	0.48905	0.4832	0.49745	0.48985	0.47925	0.49575	0.49135	0.50965	0.67245	0.6649	0.66685	0.6679	0.67335	0.66835	0.6743	0.67915	0.66805	0.6577	0.6671	0.6562	0.6559	0.67415	0.66485	0.63655	0.6555	0.6535	0.6182	0.60965	0.61105	0.61605	0.6214	0.61405	0.61975	0.6092	0.6115	0.61165	0.5971	0.61265	0.608	0.619	0.61115	0.62615	0.6265	0.61165	0.39025	0.38935	0.4147	0.38755	0.3828	0.3781	0.3791	0.3991	0.4121	0.37425	0.4565	0.40575	0.3762	0.3673	0	0.37385	0.38205	0.3802
MMZJFo7	0.7042	0.70215	0.69665	0.7057	0.7006	0.69585	0.69685	0.70195	0.6957	0.7039	0.70805	0.7019	0.70905	0.70865	0.70015	0.70315	0.69735	0.70195	0.7198	0.7171	0.71765	0.73165	0.7225	0.7082	0.70825	0.72005	0.7029	0.70495	0.6933	0.6946	0.7058	0.7006	0.6938	0.7001	0.6919	0.708	0.4317	0.4312	0.4331	0.43095	0.43675	0.44155	0.4486	0.4396	0.46105	0.421	0.40355	0.40835	0.41545	0.4075	0.41485	0.4121	0.4187	0.42	0.6937	0.69995	0.7062	0.7007	0.6974	0.694	0.70625	0.70275	0.707	0.6597	0.662	0.66315	0.65555	0.68015	0.66915	0.6475	0.66125	0.66525	0.64835	0.65225	0.64255	0.6485	0.6486	0.65685	0.66	0.6433	0.64445	0.62735	0.6415	0.6333	0.6316	0.62775	0.6291	0.63745	0.63495	0.6318	0.3753	0.3841	0.41885	0.3987	0.38925	0.386	0.3717	0.41465	0.3954	0.28295	0.39755	0.3143	0.262	0.2832	0.37385	0	0.31335	0.3839
MMZJFo8	0.7219	0.71905	0.71805	0.72445	0.72085	0.71705	0.72025	0.72275	0.7136	0.7196	0.72875	0.71425	0.72745	0.72585	0.71835	0.72355	0.7173	0.72175	0.735	0.7351	0.73725	0.7535	0.74045	0.7279	0.72735	0.7463	0.7194	0.7245	0.7133	0.7149	0.7295	0.722	0.71375	0.72245	0.712	0.73275	0.46085	0.456	0.47155	0.4618	0.46965	0.43505	0.4821	0.47905	0.4348	0.45785	0.4245	0.4212	0.4352	0.43095	0.41095	0.44385	0.432	0.46215	0.72085	0.72395	0.73355	0.7263	0.725	0.72085	0.73155	0.72515	0.7304	0.69585	0.69535	0.69775	0.69435	0.7105	0.7046	0.6875	0.70015	0.70325	0.68	0.6809	0.67805	0.68065	0.67755	0.6933	0.6857	0.67415	0.67745	0.6619	0.67545	0.66825	0.6661	0.6619	0.66655	0.67135	0.67125	0.67315	0.39685	0.42675	0.45355	0.42315	0.41555	0.4023	0.39905	0.43875	0.4273	0.2893	0.40185	0.38525	0.3135	0.29335	0.38205	0.31335	0	0.40745
MMZJFo9	0.7065	0.7021	0.6949	0.7043	0.7049	0.69975	0.70635	0.70425	0.6984	0.7022	0.7094	0.7035	0.71185	0.7152	0.7044	0.7013	0.70515	0.707	0.7134	0.7078	0.71555	0.72935	0.71615	0.71115	0.7033	0.7297	0.7041	0.7032	0.69465	0.69885	0.70825	0.6988	0.69295	0.70245	0.69705	0.7083	0.50075	0.5035	0.5081	0.5055	0.50725	0.50925	0.51935	0.5111	0.51645	0.50955	0.4951	0.49475	0.5095	0.4975	0.4936	0.5023	0.49985	0.5129	0.6118	0.61095	0.6081	0.60915	0.61155	0.6081	0.6175	0.61685	0.61925	0.62835	0.6399	0.62075	0.63005	0.64555	0.6385	0.60855	0.62595	0.6288	0.556	0.5628	0.55545	0.56325	0.5712	0.5649	0.57075	0.55875	0.5574	0.59875	0.60505	0.60865	0.60185	0.60475	0.60005	0.61895	0.6134	0.60235	0.2785	0.2721	0.3033	0.2774	0.2665	0.27635	0.2669	0.28375	0.2897	0.3862	0.47375	0.4016	0.389	0.383	0.3802	0.3839	0.40745	0
